Koskelo	コスケロ
Koskenkaiku	コスケンカイク
Koskenmaa	コスケンマー
Koskenniemi	コスケンニエミ
Koskensalo	コスケンサロ
Koski	コスキ
Koskinen	コスキネン
Kosola	コソラ
Kosonen	コソネン
Kostiainen	コスティアイネン
Kosunen	コスネン
Kotamäki	コタマキ
Kotilainen	コティライネン
Kotipelto	コティペルト
Kotisaari	コティサーリ
Kotonen	コトネン
Kottila	コッティラ
Koukka	コウッカ
Kovalainen	コヴァライネン（コバライネン）
Kovanen	コヴァネン
Kuikkonen	クイッコネン
Kuisma	クイスマ
Kuismanen	クイスマネン
Kuitunen	クイトゥネン
Kuivalainen	クイヴァライネン
Kuivanen	クイヴァネン
Kujala	クヤラ
Kukko	クッコ
Kukkola	クッコラ
Kukkonen	クッコネン
Kulmala	クルマラ
Kuloniemi	クロニエミ
Kulovaara	クロヴァーラ
Kulppi	クルッピ
Kunnas	クンナス
Kunnassalo	クンナッサロ
Kuokkanen	クオッカネン
Kuoppala	クオッパラ
Kuosmanen	クオスマネン
Kupari	クパリ
Kuparinen	クパリネン
Kupiainen	クピアイネン
Kurki	クルキ
Kurkinen	クルキネン
Kurri	クッリ（クリ）
Kurvinen	クルヴィネン
Kusmin	クスミン
Kuukkanen	クーッカネン
Kuula	クーラ
Kuusa	クーサ
Kuusela	クーセラ
Kuusi	クーシ
Kuusinen	クーシネン
Kuusisto	クーシスト
Kuuskoski	クースコスキ
Kuusniemi	クースニエミ
Kuustonen	クーストネン
Kykkänen	キュッカネン
Kyläkoski	キュラコスキ
Kyllönen	キュッロネン
Kyllonen	キュッロネン
Kylmänen	キュルマネン
Kymäläinen	キュマライネン
Kynsijarvi	キュンシヤルヴィ
Kyrö	キュロ
Kytölä	キュトラ
Kytönen	キュトネン
Kyttä	キュッタ
Laakkonen	ラーッコネン
Laakso	ラークソ
Laaksonen	ラークソネン
Laari	ラーリ
Laatikainen	ラーティカイネン
Lähde	ラハデ
Lähteenmäki	ラハテーンマキ
Lahtela	ラハテラ
Lahti	ラハティ
Lahtinen	ラハティネン
Lahtomaa	ラハトマー
Laihiala	ライヒアラ
Laiho	ライホ
Laihonen	ライホネン
Laine	ライネ
Lainio	ライニオ
Lairila	ライリラ
Laisto	ライスト
Laitila	ライティラ
Laitinen	ライティネン
Lajunen	ラユネン
Lakanen	ラカネン
Lakomaa	ラコマー
Lallukka	ラッルッカ
Lamminen	ランミネン
Lamminpää	ランミンパー
Lampinen	ランピネン
Lamppi	ランッピ
Lamppinen	ランッピネン
Lamppu	ランップ
Lämpsä	ランプサ
Lampu	ランプ
Lämsä	ラムサ
Lanamäki	ラナマキ
Lankila	ランキラ
Lankinen	ランキネン
Lappalainen	ラッパライネン
Lappo	ラッポ
Lapveteläinen	ラプヴェテライネン
Larivaara	ラリヴァーラ
Lassila	ラッシラ
Latomaa	ラトマー
Laturi	ラトゥリ
Latvala	ラトヴァラ
Laukka	ラウッカ
Laukkanen	ラウッカネン
Laukkinen	ラウッキネン
Laukkonen	ラウッコネン
Laukonen	ラウコネン
Launonen	ラウノネン
Lauri	ラウリ
Laurikainen	ラウリカイネン
Laurila	ラウリラ
Lautala	ラウタラ
Lautasalo	ラウタサロ
Lavinen	ラヴィネン
Lehikoinen	レヒコイネン
Lehkosuo	レフコスオ
Lehotonen	レホトネン
Lehterä	レフテラ
Lehti	レフティ
Lehtimäki	レフティマキ
Lehtinen	レフティネン
Lehtipuu	レフティプー
Lehto	レフト
Lehtokoski	レフトコスキ
Lehtola	レフトラ
Lehtomäki	レフトマキ
Lehtonen	レフトネン
Lehtosaari	レフトサーリ
Lehtosalo	レフトサロ
Lehvonen	レフヴォネン
Leino	レイノ
Leinonen	レイノネン
Leivo	レイヴォ
Leivonen	レイヴォネン
Leminen	レミネン
Lenho	レンホ
Lenkkeri	レンッケリ
Lepistö	レピスト
Lepola	レポラ
Leppä	レッパ
Leppälä	レッパラ
Leppäluoto	レッパルオト
Leppänen	レッパネン
Leskinen	レスキネン
Letonmäki	レトンマキ
Lievonen	リエヴォネン
Lihavainen	リハヴァイネン
Liikanen	リーカネン
Liikkanen	リーッカネン
Liimatainen	リーマタイネン
Likitalo	リキタロ
Lilja	リリヤ
Lindroos	リンドロース
Linjama	リニヤマ
Linko	リンコ
Linkola	リンコラ
Linna	リンナ
Linnainmaa	リンナインマー
Linnapuomi	リンナプオミ
Linnasalo	リンナサロ
Lintala	リンタラ
Lintamo	リンタモ
Lintilä	リンティラ
Lintinen	リンティネン
Lintonen	リントネン
Lintula	リントゥラ
Lintunen	リントゥネン
Linturi	リントゥリ
Lipponen	リッポネン
Liski	リスキ
Litmanen	リトマネン
Liuhala	リウハラ
Liukko	リウッコ
Liukkonen	リウッコネン
Loikkanen	ロイッカネン
Loimaranta	ロイマランタ
Loiri	ロイリ
Lonkainen	ロンカイネン
Lopakka	ロパッカ
Lötjönen	ロトヨネン
Louhisola	ロウヒソラ
Löytty	ロユッテュ
Löyttyniemi	ロユッテュニエミ
Luhtanen	ルフタネン
Luhtasaari	ルフタサーリ
Lukkarinen	ルッカリネン
Lumijärvi	ルミヤルヴィ
Lumivuokko	ルミヴオッコ
Lumme	ルンメ
Luokka	ルオッカ
Luoma	ルオマ
Luopajärvi	ルオパヤルヴィ
Luostarinen	ルオスタリネン
Lusikka	ルシッカ
Luttinen	ルッティネン
Luukka	ルーッカ
Luukkainen	ルーッカイネン
Luukkanen	ルーッカネン
Luukkonen	ルーッコネン
Luusua	ルースア
Lyly	リュリュ
Lylykorpi	リュリュコルピ
Lyyski	リュースキ
Lyytikäinen	リューティカイネン
Lyytinen	リューティネン
Maaniemi	マーニエミ
Maarala	マーララ
Maasalo	マーサロ
Maaskola	マースコラ
Määttä	マーッタ
Madetoja	マデトヤ
Mäenpää	マエンパー
Mäentausta	マエンタウスタ
Maijala	マイヤラ
Maijanen	マイヤネン
Mäkäräinen	マカライネン
Mäkelä	マケラ
Mäkeläinen	マケライネン
Mäki	マキ
Maki	マキ
Mäkilä	マキラ
Mäkinen	マキネン
