Talavante	タラバンテ
Tamayo	タマジョ
Tamez	タメス
Tamudo	タムード
Tapia	タピア
Tarragó	タルラゴ
Tárrega	タルレガ
Tarrés	タルレス
Tejada	テハダ
Tejeda	テヘダ
Tejero	テヘロ
Tellería	テジェリア
Téllez	テジェス
Tello	テジョ
Terán	テラン
Terradas	テラダス
Terradellas	テラデージャス
Terrazas	テラサス
Teruel	テルエル
Tijerina	ティヘリナ
Tirado	ティラド
Toldrá	トルドラ
Toledo	トレド
Tomás	トマス
Toro	トロ
Torrent	トレント
Torres	トルレス
Tórrez	トルレス
Torróba	トルロバ
Torroja	トルロハ（トローハ）
Tortajada	トルタハーダ
Tovar	トバル
Tragó	トラーゴ
Trejo	トレホ
Treviño	トレビニョ
Trueba	トルエバ、トゥルエバ
Trueva	トルエバ
Trujillo	トルヒジョ
Turina	トゥリーナ
Úbeda	ウベダ
Uchitel	ウチテル
Udaeta	ウダエタ
Ugarte	ウガルテ
Ulibarri	ウリバルリ
Ulloa	ウジョア
Unamuno	ウナムーノ
Urbano	ウルバノ
Urbina	ウルビナ
Ureña	ウレニャ
Uriarte	ウリアルテ
Urías	ウリアス
Uribe	ウリベ
Urquiaga	ウルキアガ
Urquiola	ウルキオラ
Urreta	ウレタ
Urrutia	ウルティア
Urzaiz	ウルサイス
Usandizaga	ウサンディサーガ
Vaca	バカ
Valadez	バラデス
Valcarce	バルカルセ
Valderrabano	バルデルラバノ
Valdés	バルデス
Valdez	バルデス
Valdivia	バルディビア
Valencia	バレンシア
Valentín	バレンティン
Valenzuela	バレンスエラ
Valeriano	バレリアノ
Valero	バレロ
Valeron	バレロン
Vales	バレス
Valladares	バジャダレス
Valle	バジェ
Vallejo	バジェホ
Valles	バジェス
Valls	バルス
Valverde	バルベルデ
Vanegas	バネガス
Varela	バレラ
Vargas	バルガス
Vásquez	バスケス
Vázquez	バスケス
Vega	ベーガ
Vela	ベラ
Velasco	ベラスコ
Velásquez	ベラスケス
Velázquez	ベラスケス
Vélez	ベレス
Véliz	ベリス
Velo	ベロ
Venegas	ベネガス
Ventura	ベントゥラ
Vera	ベラ
Verdasco	ベルダスコ
