Giraudeau	ジロドー
Giraudoux	ジロドゥー
Giroud	ジルー
Giroux	ジルー
Giscard	ジスカール
Givet	ジヴェ
Gobert	ゴベール
Godard	ゴダール
Godefroy	ゴドフロワ
Gontier	ゴンティエ、ゴンチエ
Goron	ゴロン
Gossec	ゴセック
Goudier	グディエ
Goudimel	グーディメル
Gounod	グノー
Gousseau	グソー
Gracq	グラック
Grandet	グランデ
Granet	グラネ
Grange	グランジュ
Grangé	グランジェ
Granier	グラニエ
Granlin	グランラン
Grasset	グラッセ
Grémillon	グレミヨン
Gresse	グレッス
Grévy	グレヴィ
Griette	グリエット
Grigny	グリニー
Grimault	グリモー
Grisolet	グリゾレ
Grosjean	グロジャン
Groult	グルー
Grovlez	グロヴレ
Guedron	ゲドロン
Gueneau	グノー
Guerchet	ゲルシェ
Guérin	ゲラン
Guerlain	ゲラン
Guers	ゲール
Guesde	ゲッド、ゲード
Guesnier	ゲニエ
Guffroy	ギュフロワ
Gui	ギー
Guibert	ギベール
Guigou	ギグー
Guillard	ギヤール
Guille	ギーユ
Guillemette	ギユメット
Guillemin	ギユマン
Guillermin	ギェルマン
Guillet	ギレ
Guillon	ギヨン
Guillot	ギヨー
Guilloux	ギユー
Guilmant	ギルマン
Guilmette	ギルメット
Guimard	ギマール
Guimet	ギメ
Guin	ギャン
Guiot	ギオー
Guiramand	ギラマン
Guiraud	ギロー
Guivarc'h	ギヴァルシュ
Guy	ギュイ
Guynemer	ギヌメール
Guyotat	ギヨタ
Haber	アベール
Habert	アベール
Hache	アッシュ、アーシュ
Haffner	アフネル
Hamelin	アムラン
Hardouin	アルドワン
Harlaut	アルロー
Harnois	アルノワ
Haroche	アロシュ
Hasselmans	アセルマン
Haussmann	オスマン
Haüy	アウイ
Hazard	アザール
Hebert	エベール
Hecquefeuille	エクフイユ
Heldy	エルディー
Helffer	エルフェ
Helvétius	エルヴェシウス
Hémar	エマール
Hémard	エマール
Hémery	エマリー
Hémon	エモン
Hénin	エナン
Henin	エナン
Henri	アンリ
Henriot	アンリオ
Henry	アンリ
Herail	エライユ
Herbet	エルベ
Hérent	エラン
Hermés	エルメス
Hermite	エルミート
Héroult	エルー
Herpe	エルプ
Herriot	エリオ
Hervieu	エルヴィユ
Hillemacher	イルマシェ
Hivert	イヴェール
Hoche	オシュ
Hodeir	オデール
Hollande	オランド
Hotteterre	オトテール
Houdart	ウダール
Houdon	ウードン
Houtmann	ウトマン
Hovora	オヴォラ
Hubeau	ユボー
Huberdeau	ユベルドー
Hubert	ユベール
Hugo	ユゴー
Hugoniot	ユゴニオ
Humbert	アンベール
Humel	ユメル
Huré	ユレ
Hureau	ユロー
Hutin	ユタン
Ibert	イベール
Ingres	アングル
Jacob	ジャコブ
Jacquard	ジャカール
Jacqueminot	ジャックミノー
Jacquet	ジャケ
Jacquillat	ジャキヤ
Jacquin	ジャッカン
Jaffre	ジャフル
Jalbert	ジャルベール
Jamet	ジャメ
Jamin	ジャマン
Janequin	ジャヌカン
Jaquet	ジャッケ
Jarre	ジャール
Jean	ジャン
Jeanmaire	ジャンメール
Jeannot	ジャノ
Jeunet	ジュネ
Joachim	ジョアシャン
Jobert	ジョベール
Johanneau	ジョアンノー
Johaux	ジュオー
Joinville	ジョアンヴィル
Joliot	ジョリオ
Jolivet	ジョリヴェ
Jonas	ジョナ
Jonquet	ジョンケ
Jospin	ジョスパン
Josserand	ジョスラン
Jouan	ジュアン
Jouatte	ジュアット
Joubert	ジュベール
Jouin	ジュアン
Jouineau	ジュイノー
Jourdain	ジョルダン
Jouve	ジュヴェ
Joxe	ジョクス
Joy	ジョワ
Jugnot	ジュニョ
Juppé	ジュペ、ジュッペ
Karembeu	カランブー
Koechlin	ケクラン
La Bruchollerie	ラ・ブリュショルリ
La Fayette	ラ・ファイエット
La Fontaine	ラ・フォンテーヌ
La Forge	ラ・フォルジュ
La Halle	ラ・アル
La Salle	ラ・サル、ラ・サール
La Tour	ラ・トゥール
Labarre	ラバール
Labey	ラベー
Labracherie	ラブラシュリ
Labré	ラブレ
Lacan	ラカン
Lacepede	ラスペード
Lacheray	ラシュレー
Laclos	ラクロ
Lacombe	ラコンブ
Lacordaire	ラコルデール
Lacoste	ラコスト
Lacour	ラクール
Lacretelle	ラクルテル
Lacroix	ラクロワ
Laënnec 	ラエネック、レーネック
Lafargue	ラファルグ
Laffont	ラフォン
Lafond	ラフォン
Lafont	ラフォン
Laforet	ラフォレ
Lagarde	ラガルド
Lagrange	ラグランジュ
Laguiller	ラギエ
Laheurte	ラウルト
Laine	レーヌ
Lainé	レネ
Lalande	ラランド
Lallouette	ラルエット
Lalo	ラロ
Lalonde	ラロンド
Lamartine	ラマルチーヌ
Lambert	ランベール
Lamblin	ランブラン
Lamy	ラミー
Landreau	ランドロー
Langlais	ラングレー
Langlois	ラングロワ
Lannes	ランヌ
Lanvin	ランヴァン
Laparra	ラパラ
Lapelletrie	ラペルトリ
Lapeyrette	ラペイレット
Laplace	ラプラス
Lapointe	ラポワント
Lapoirie	ラポワリー
Laporte	ラポルト
Lapparent	ラッパラン
Laprade	ラプラード
Larcange	ラルカンジュ
Laroche	ラロシュ
Laroque	ラロク
Larrieu	ラリュー
Lassagne	ラサーニュ
Lassalle	ラサル
Lathière	ラチエール
Laurant	ローラン
Laurence	ロランス
Laurencin	ローランサン
Laurent	ローラン
Lautrec	ロートレック
Laval	ラヴァル
Lavandier	ラヴァンディエ
Laveran	ラヴラン
Lavillenie	ラヴィルニー
Lavisse	ラヴィス
Lavoie	ラヴォワ
Lavoisier	ラヴォアジエ
Le Begue	ル・ベーグ
Le Bel	ル・ベル
Le Bon	ル・ボン
Le Breton	ル・ブルトン
Le Bris	ル・ブリ
Le Brun	ル・ブラン
Le Carrié	ル・カリエ
Le Chapelier	ル・シャプリエ
Le Chatelier	ル・シャトリエ
Le Clézio	ル・クレジオ
Le Comte	ル・コント
Le Conte	ル・コント
Le Flem	ル・フレム
Le Fort	ル・フォール
Le Gall	ル・ギャル
Le Gallienne	ル・ギャリエンヌ
Le Goff	ル・ゴフ
Le Jeune	ル・ジュヌ
Le Nain	ル・ナン
Le Nôtre	ル・ノートル
Le Pen	ル・ペン
Le Play	ル・プレー
Le Riche	ル・リッシュ
Le Roux	ル・ルー
Le Roy	ル・ロワ、ル・ロア
Le Sueur	ル・スュール
Le Tellier	ル・テリエ
Le Vau	ル・ヴォー
Le Verrier	ル・ヴェリエ
Léandre	レアンドル
Léautaud	レオトー
Lebarbé	ルバルベ
Lebesgue	ルベーグ
Leblanc	ルブラン
Leboeuf	ルブーフ
Lebreton	ルブルトン
Lebrun	ルブラン
Lecat	ルカ
Leclair	ルクレール
Leclerc	ルクレール
Leclercq	ルクレール
Lecocq	ルコック
Lecomte	ルコント
Leconte	ルコント
Lecouvreur	ルクヴルール
Ledoux	ルドゥー
Ledoyen	ルドワイヤン
Ledru	ルドリュ
Leduc	ルデュク
Lefait	ルフェ
Lefèbvre	ルフェーヴル
Lefebvre	ルフェーヴル
Lefèvre	ルフェーヴル
Lefort	ルフォール
Legendre	ルジャンドル
Léger	レジェ
Legrand	ルグラン
Lejeune	ルジュヌ
Lelong	ルロン
Lelouch	ルルーシュ
Lemaire	ルメール
Lemaïtre	ルメートル
Lemare	ルマール
Lemercier	ルメルシエ
Lemoigne	ルモワーニュ
Lemonnier	ルモニエ
Lemoyne	ルモワーヌ
Lengellé	ランジュレ
Lenglen	ラングラン
Lenoir	ルノアール
Léotard	レオタール
Lepape	ルパープ
Lerner	レルネ
Leroux	ルルー
Leroy	ルロワ
Lesage	ルサージュ
Lescot	レスコー
Lespinasse	レスピナス
Lesseps	レセップス
Lesueur	ルスュール
Lesur	ルスュール、ルシュール
Leurquin	レルカン
Leverrier	ルヴェリエ
Lévi	レヴィ
Lévy	レヴィ
Lièvre	リエーヴル
Lifar	リファール
Ligne	リーニュ
Lilamand	リラマン
Lionne	リオンヌ
Liouville	リウヴィル
Lisnard	リスナール
Lissajous	リサジュー
Littré	リトレ
Loaëc	ロアエク
Logerot	ロジュロ
Loilier	ロワリエ
Lolotte	ロロット
Londeix	ロンデックス
Long	ロン
Loraux	ロロー
Loriod	ロリオ
Lorioux	ロリウー
Lormeau	ロルモー
Loubet	ルベ
Louboutin	ルブタン
Loucheur	ルシュール
Loussier	ルシエ
Louvier	ルヴィエ
Louvois	ルヴォア
Louÿs	ルイス
Loyonnet	ロヨネ
