Abate	アバーテ
Cattaneo	カッターネオ
Cattini	カッティーニ
Catullo	カトゥッロ
Causio	カウジオ
Cavagnis	カヴァニス
Cavalcanti	カヴァルカンティ
Cavalera	カヴァレーラ
Cavalieri	カヴァリエリ
Cavallari	カヴァッラーリ
Cavallaro	カヴァッラーロ
Cavalli	カヴァッリ
Cavallini	カヴァッリーニ、カヴァリーニ
Cavallo	カヴァッロ、カヴァルロ
Cavallone	カヴァッローネ
Cavallotti	カヴァロッティ
Cavazza	カヴァッツァ
Cavazzoni	カヴァッツォーニ
Cazzati	カッツァーティ
Ceccarelli	チェッカレッリ
Ceccarossi	チェッカロッシ
Cecchele	チェッケーレ
Cecchi	チェッキ
Cecchini	チェッキーニ
Cecconi	チェッコーニ
Celeghin	チェレギン
Celentano	チェレンターノ
Celino	チェリーノ
Celletti	チェッレッティ
Cellini	チェッリーニ
Cenami	チェナーミ
Censi	チェンシ
Centurelli	チェントゥレッリ
Centurione	チェントゥリオーネ
Ceravolo	チェラーヴォロ
Cernuschi	チェルヌスキ
Cerquetti	チェルクウェッティ、チェルクェッティ
Cerquozzi	チェルクウォッツィ
Cerra	チェルラ
Cerreti	チェルレーティ
Cerri	チェッリ
Cerruti	チェッルーティ
Cerutti	チェルッティ
Cervo	チェルヴォ
Cesari	チェーザリ
Ceste	チェステ
Cesti	チェスティ
Ceva	チェーヴァ
Chiappini	キアッピーニ
Chiara	キアーラ
Chiaromonte	キアロモンテ、キャロモンテ
Chiarugi	キアルージ、キャルージ
Chiavassa	キャヴァッサ、キアヴァッサ
Chiellini	キエッリーニ
Chiesa	キエザ
Chimenti	キメンティ
Chinaglia	キナッリャ
Chirico	キリコ
Ciaffi	チャッフィ
Cialdini	チャルディーニ
Ciampi	チャンピ
Ciani	チャーニ（チアーニ）
Ciapponi	チャッポーニ
Ciaramella	チャラメッラ
Ciccarelli	チッカレッリ
Cicci	チッチ
Ciccia	チッチャ
Cicco	チッコ
Ciccolini	チッコリーニ
Ciccone	チッコーネ
Cicerone	チチェローネ
Cicogna	チコーニャ
Cifarelli	チファレッリ
Cifra	チーフラ
Cigada	チガーダ
Cigoli	チーゴリ
Cilea	チレア、チレーア
Cima	チーマ
Cimara	チマーラ
Cimarosa	チマローザ
Cimenti	チメンティ
Cinelli	チネッリ
Cini	チーニ
Ciniselli	チニゼッリ
Cinquegrana	チンクェグラーナ
Cinquetti	チンクウェッティ
Cinzano	チンツァーノ
Ciocci	チョッチ
Ciociano	チョチャーノ
Cioni	チョーニ
Cipollini	チポッリーニ
Cipriani	チプリアーニ
Cipriano	チプリアーノ
Cirillo	チリッロ
Cirino	チリーノ
Cisi	チージ
Citaristi	チタリスティ
Citterio	チッテーリオ
Citti	チッティ
Civirani	チヴィラーニ
Civoli	チヴォリ
Clementi	クレメンティ
Clerici	クレリチ
Cobelli	コベッリ
Cocchi	コッキ
Cocci	コッチ
Coccia	コッチャ
Cocco	コッコ
Colafranceschi	コラフランチェスキ
Colaiuta	コラユータ
Colavolpe	コラヴォルペ
Colella	コレッラ
Coletti	コレッティ
Colleoni	コッレオーニ
Colli	コッリ
Collodi	コッローディ
Colloredo	コッロレード
Collovati	コッロヴァーティ
Colnaghi	コルナーギ
Colombi	コロンビ
Colombini	コロンビーニ
Colombo	コロンボ
Colonna	コロンナ
Colonnetti	コロンネッティ
Colosio	コロージオ
Colucci	コルッチ
Columbro	コルンブロ
Colussi	コルッシ
Colzani	コルツァーニ
Comandini	コマンディーニ
Comelli	コメッリ
Concato	コンカート
Conciatori	コンチャトーリ
Concone	コンコーネ
Confalonieri	コンファロニエーリ
Confortola	コンフォルトーラ
Consoli	コンソリ
Consorti	コンソールティ
Contarini	コンタリーニ
Conte	コンテ
Contesti	コンテスティ
Conti	コンティ
Contin	コンティン
Contini	コンティーニ
Copertini	コペルティーニ
Coppa	コッパ
Coppola	コッポラ
Coppolino	コッポリーノ
Corazzini	コラッツィーニ
Corbucci	コルブッチ
Corelli	コレッリ
Corghi	コルギ
Corli	コルリ
Corradetti	コッラデッティ
Corradi	コッラーディ
Corradini	コルラディーニ、コッラディーニ
Correani	コルレアーニ
Correggio	コッレッジョ
Corri	コッリ
Corridori	コッリドーリ
Corsi	コルシ
Corsini	コルシーニ
Cortazzi	コルタッツィ
Cortese	コルテーゼ
