Abenius	アベニウス
Löfven	レヴェーン、ロヴェーン
Lönnå	レンノ
Lönnberg	レーンバリ
Lönnholm	レンホルム
Lönnkvist	レンクヴィスト
Lönnquist	レンクヴィスト
Lönnqvist	レンクヴィスト
Lönnroth	レーンロート
Lövkvist	レーヴクヴィスト
Lovnér	ロヴネル
Löwenadler	レーヴェンアドレール
Löwenhielm	レーヴェンヒェルム
Lund	ルンド
Lundahl	ルンダール
Lundberg	ルンドバリ
Lundblad	ルンドブラード
Lundbohm	ルンドボーム
Lundeberg	ルンデバリ
Lundegård	ルンデゴード
Lundell	ルンデル
Lundgren	ルンドグレーン
Lundholm	ルンドホルム
Lundin	ルンディーン
Lundkvist	ルンドクヴィスト
Lundmark	ルンドマルク
Lundquist	ルンドクヴィスト
Lundqvist	ルンドクヴィスト
Lundsten	ルンドステーン
Lundström	ルンドストレーム
Lundvall	ルンドヴァル
Lundvik	ルンヴィク
Lundwall	ルンドヴァル
Magnusson	マグヌソン
Maier	マイエル
Malmberg	マルムバリ
Malmborg	マルムボリ
Malmer	マルメル
Malmfors	マルムフォーシュ
Malmgren	マルムグレーン
Malmkvist	マルムクヴィスト
Malmquist	マルムクヴィスト
Malmqvist	マルムクヴィスト
Malmros	マルムロース
Malmsjö	マルムフェ
Malmsten	マルムステーン
Malmström	マールムストレーム
Mandahl	マンダール
Mann	マン
Manner	マンナル、マンネル
Mannerheim	マンネルヘイム
Månsson	モンソン
Marklund	マルクルンド
Mårtenson	モーテンソン
Mårtensson	モルテンソン
Martinson	マルティンソン
Martinsson	マルティンソン
Mathsson	マットソン
Mattson	マットソン
Mattsson	マットソン
Meijer	メイイェル
Melander	メランデル
Melin	メリーン
Melkersson	メルケション
Mellberg	メルバリ
Mellin	メリーン
Mellnas	メルネス
Merits	マリーツ
Meschwitz	メシュヴィツ
Mild	ミルド
Milveden	ミルヴェーデン
Moberg	ムーバリ
Molander	モランデル
Moodysson	モーデュソン
Morberg	モルバリ
Morthensen	モッテンセン
Mosesson	モーセッソン
Myberg	ミューバリ
Myrberg	ミュルバリ
Myrdal	ミュルダール
Naumann	ナウマン
Nelldal	ネルダール
Nelson	ネルソン
Nelsson	ネルソン
Nerem	ネレム
Neumann	ノイマン
Nicander	ニカンデル
Nilsson	ニルソン
Nobel	ノベル、ノベール
Norberg	ノルバリ
Nordahl	ノルダール
Nordegren	ノルデグレーン
Norden	ノルデン
Nordenfelt	ノルデンフェルト
Nordenskiold	ノルデンショルド
Nordenson	ノルデンソン
Nordgren	ノルドグレーン
Nordin	ノルディーン
Nordkvist	ノルドクヴィスト
Nordlander	ノルドランデル
Nordlund	ノルドルンド
Nordman	ノルドマン
Nordquist	ノルドクヴィスト
Nordqvist	ノルドクヴィスト
Nordström	ノルドストレーム
Nordwall	ノルドヴァル
Norén	ノリアン
Norlander	ノルランデル
Norlén	ノルリアン
Norman	ヌールマン
Norrby	ノルビ
Norrman	ノルマン
Norstedt	ノシュテット
Norström	ノルシュトレーム
Nyberg	ニーバリ
Nyblom	ニーブロム
Nydahl	ニーダール
Nygren	ニーグレーン
Nyholm	ニーホルム
Nykvist	ニークヴィスト
Nylander	ニランデル
Nylén	ニリアン
Nylund	ニールンド
Nyman	ニーマン
Nyquist	ニークヴィスト
Nyqvist	ニークヴィスト
Nyrén	ニリアン
Nyström	ニーストレーム
Öberg	エーバリ
Odeberg	オーデバリ
Odelberg	オーデルバリ
Odell	オデッル
Odén	オデアン
Odenberg	オーデンバリ
Ohlin	オリーン、オーリーン
Ohlmarks	オールマルクス
Ohlsson	オールソン
Öhman	エーマン
Öhrnberg	エールンバリ
Öhrwall	エールヴァール
Olhester	オルヘスタル
Olin	オリーン
Olofsson	オロフソン
Olsson	オルソン
Oredsson	オーレドソン
Oscarius	オスカリウス
Oscarsson	オスカーション
Oskarsson	オスカーション
Östberg	エストバリ
Österberg	エステルバリ
Östergren	エステルグレーン
Österlund	エステルルンド
Österman	エステルマン
Östholm	エストホルム
Östling	エストリン
Östlund	エストルンド
Östlundh	エストルンド
Östman	エストマン
Ottosson	オットソン
Övergaard	エーベルゴード
Oxenstierna	オクセンシェルナ
Påhlsson	ポールソン
Palm	パルム
Palmborg	パルムボリ
Palmcrantz	パルムクランツ
Palme	パルメ
Palmgren	パルムグレーン
Pålson	ポールソン
Pålsson	ポルソン
Pärson	パーション
Patriksson	パトリクソン
Paulson	ポールソン
Paulsson	ポールソン
Perder	ペーデル
Pergament	ペルガメント
Persbrandt	パーシュブラント
Persson	パーション
Peterson	ペッテション
Petersson	ペッテション
Pettersson	ペッテション
Pleijel	プレイイェル
Pringle	プリングル
Rabe	ラーベ
Rådström	ロードストレーム
Rahm	ラーム
Randel	ランデル
Ranelid	ラーネリード
Rehn	レーン
Rehnkvist	レーンクヴィスト
Rehnquist	レーンクヴィスト
Rehnqvist	レーンクヴィスト
Reinfeldt	ラインフェルト
Rendahl	レンダール
Richardsson	リカルドソン
Ringberg	リングバリ
Ringdahl	リングダール
Ringholm	リングホルム
Ringkvist	リンクヴィスト
Rödin	レディーン
Rodin	ロディーン
Rödlund	レードルンド
Roman	ルーマン
Rönnegård	レンネゴード
Rosberg	ロースバリ
Rosén	ロセアン
Rosenberg	ローセンバリ
Rosenblad	ローセンブラード
Rosendahl	ローセンダール
Rosengren	ローセングレーン
Rosström	ルーストレーム
Rubenson	ルーベンソン
Rudberg	ルドバリ
Rudels	ルーデルス
Rudin	ルディーン
Ruhtenberg	ルーテンバリ
Rundback	ルンベック
Rundgren	ルンドグレーン
Rundkvist	ルンドクヴィスト
Rundquist	ルンドクヴィスト
Rundqvist	ルンドクヴィスト
Ruthström	ルトストレーム
Rybrant	リューブラント
Rydberg	リュードバリ
Rydholm	リドホルム
Saedén	セーデン
Sahlberg	サールバリ
Sahlén	サリアン
Sahlgren	サールグレーン
Sahlin	サリーン
Sahlström	サールストレーム
Samuelsson	サムエルソン
Sandahl	サンダール
Sandberg	サンドバリ
Sandborg	サンドボリ
Sandström	サンドストレーム
Santesson	サンテソン
Schjerven	シェルヴェン
Schönberg	シェーンバリ
Schymberg	シンバリ
Sedén	セデーン
Sederholm	セーデルホルム
Sedin	セディーン
Segelström	セーゲルストレーム
Segerstråle	セーゲルストローレ
Sejdelia	セイデリア
Selander	セランデル
Sellén	セリアン
Sibelius	シベリウス
Siegbahn	シーグバーン
Sigfridsson	ジグフリードソン
Silfverberg	シルフヴァルバリ
Silvmark	シルヴマルク
Simberg	シーンバリ
Sjöberg	フェーバリ
Sjöblom	フェーブロム
Sjöborg	フェーボリ
Sjöbring	フェーブリン
Sjödahl	フェーダール
Sjödin	フェーディーン
Sjögren	フェーグレーン
Sjöholm	フェーホルム
Sjölin	フェーリーン
Sjölund	フェールンド
Sjöstedt	フェーステット
Sjösten	フェーステーン
Sjöstrand	フェストランド
Sjöström	フェーストレーム
Skantze	スカンツェ
Skarsgård	スカーシュゴード
Skoglund	スコグルンド
Sköld	フェルド
Slättegård	スレッテゴード
Söderbaum	セーデルバウム
Söderberg	セーデルバリ
Söderblom	セーデルブロム
Söderborg	セーデルボリ
Södergren	セーデルグレーン
Söderholm	セーデルホルム
Söderkvist	セーデルクヴィスト
Söderlind	セーデルリンド
Söderlund	セーデルルンド
Söderlundh	セーデルルンド
Söderman	セーデルマン
Söderquist	セーデルクヴィスト
Söderqvist	セーデルクヴィスト
Södersten	セーデシュテーン
Söderström	セーデシュトレーム
Solander	ソランデル
Sönnerstadt	センナーシュタット
Sörenson	ソレンソン
Sörenstam	ソレンスタム
Staern	シュテルン
Ståhl	ストール
Ståhlberg	ストールバリ
Stål	ストール
Steen	ステーン
Stenhammar	ステーンハンマル
Stenholm	ステンホルム
Stenius	ステニウス
Stenmark	ステンマルク
Stenström	ステンストレーム
Stevenson	ステヴェンソン
Stigson	スティグソン
Stjernberg	ファルンバリ
Stjernkvist	ファーンクヴィスト
Stjernquist	ファーンクヴィスト
Stjernqvist	ファーンクヴィスト
Stockmann	ストークマン
Stoor	ストール
Strand	ストランド
Strandberg	ストランドバリ
Strandlind	ストランドリンド
Strandman	ストランドマン
Strindberg	ストリンドバリ、ストリンドベリ
Ström	ストレーム
Strömberg	ストレームバリ
Strömblad	ストレムブラード
Strömholm	ストレームホルム
Strömstedt	ストレームステット
Styrbjörn	ステュルビョルン
Sund	スンド
Sundberg	スンドバリ
Sundgren	スンドグレーン
Sundkvist	スンドクヴィスト
Sundquist	スンドクヴィスト
Sundqvist	スンドクヴィスト
Sundström	スンドストレーム
Sundvall	スンドヴァル
Suovanen	スオヴァネン
Svalberg	スヴァールバリ
Svanberg	スヴァンバリ
Svanholm	スヴァンホルム
Svanström	スヴァンストレーム
Svantesson	スヴァンテソン
Svärd	スヴァルド
Svartholm	スヴァルトホルム
Svedberg	スヴェードバリ
Svedbom	スヴェドボム
Svedlund	スヴェードルンド
Svendén	スヴェンデン
Svenonius	スヴェノニウス
Svensson	スヴェンソン
Svenstedt	スヴェンステット
Svenungsson	スヴェヌングソン
Svinhufvud	スヴィンフーフヴッド
Swedborg	スヴェドボリ
Swedenborg	スヴェーデンボリ
Syrén	スリアン、スレン
Tallkvist	タールクヴィスト
Tallqvist	タールクヴィスト
Tapper	タッペル
Taube	タウベ
Tegnér	テグネール
Tengström	テングストレーム
Terfelt	タールフェルト
Thalén	タリアン
Theorell	テオレル
Theorin	テオリーン
